,SiteName,2019,2020,Shift,Area,Measure,Year Change,% Change,Colour,Table,GenericLocation,RevenueType,LocationName,Day,OrdDay,OrdSession,Session,DaySession,Colour_TY,Colour_LY,Colour_CHG
115,Skylon,232.0,126.0,Lunch,Full Site,Covers,-106.0,-45.689655172413794,Red,Totals,,,,,,,,,,,
116,Sartoria,120.0,39.0,Lunch,Full Site,Covers,-81.0,-67.5,Red,Totals,,,,,,,,,,,
117,Radici,8.0,0.0,Lunch,Full Site,Covers,-8.0,-100.0,Red,Totals,,,,,,,,,,,
118,Quaglinos,37.0,0.0,Lunch,Full Site,Covers,-37.0,-100.0,Red,Totals,,,,,,,,,,,
119,Plateau,52.0,0.0,Lunch,Full Site,Covers,-52.0,-100.0,Red,Totals,,,,,,,,,,,
120,Paternoster Chophouse,202.0,93.0,Lunch,Full Site,Covers,-109.0,-53.960396039603964,Red,Totals,,,,,,,,,,,
121,Orrery,49.0,33.0,Lunch,Full Site,Covers,-16.0,-32.6530612244898,Red,Totals,,,,,,,,,,,
122,New Street Warehouse,98.0,3.0,Lunch,Full Site,Covers,-95.0,-96.93877551020408,Red,Totals,,,,,,,,,,,
123,Madison,175.0,192.0,Lunch,Full Site,Covers,17.0,9.714285714285714,lime,Totals,,,,,,,,,,,
124,Le Pont de la Tour,51.0,8.0,Lunch,Full Site,Covers,-43.0,-84.31372549019608,Red,Totals,,,,,,,,,,,
125,Klosterhaus,0.0,59.0,Lunch,Full Site,Covers,59.0,100.0,lime,Totals,,,,,,,,,,,
126,Issho,47.0,44.0,Lunch,Full Site,Covers,-3.0,-6.382978723404255,Red,Totals,,,,,,,,,,,
127,German Gymnasium,596.0,368.0,Lunch,Full Site,Covers,-228.0,-38.25503355704698,Red,Totals,,,,,,,,,,,
128,Fiume,3.0,0.0,Lunch,Full Site,Covers,-3.0,-100.0,Red,Totals,,,,,,,,,,,
129,East 59th,16.0,14.0,Lunch,Full Site,Covers,-2.0,-12.5,Red,Totals,,,,,,,,,,,
130,Coq d'Argent,167.0,72.0,Lunch,Full Site,Covers,-95.0,-56.886227544910184,Red,Totals,,,,,,,,,,,
131,Cantina,25.0,20.0,Lunch,Full Site,Covers,-5.0,-20.0,Red,Totals,,,,,,,,,,,
132,Butlers Wharf Chophouse,34.0,14.0,Lunch,Full Site,Covers,-20.0,-58.82352941176471,Red,Totals,,,,,,,,,,,
133,Blueprint Café,10.0,0.0,Lunch,Full Site,Covers,-10.0,-100.0,Red,Totals,,,,,,,,,,,
134,Bluebird Chelsea,225.0,248.0,Lunch,Full Site,Covers,23.0,10.222222222222223,lime,Totals,,,,,,,,,,,
135,Avenue,103.0,6.0,Lunch,Full Site,Covers,-97.0,-94.1747572815534,Red,Totals,,,,,,,,,,,
136,Aster,124.0,11.0,Lunch,Full Site,Covers,-113.0,-91.12903225806451,Red,Totals,,,,,,,,,,,
137,20 Stories,198.0,239.0,Lunch,Full Site,Covers,41.0,20.707070707070706,lime,Totals,,,,,,,,,,,
138,100 Wardour Street,6.0,0.0,Lunch,Full Site,Covers,-6.0,-100.0,Red,Totals,,,,,,,,,,,
139,White City,141.0,56.0,Dinner,Full Site,Covers,-85.0,-60.28368794326241,Red,Totals,,,,,,,,,,,
140,Trinity,173.0,155.0,Dinner,Full Site,Covers,-18.0,-10.404624277456648,Red,Totals,,,,,,,,,,,
141,Skylon,373.0,330.0,Dinner,Full Site,Covers,-43.0,-11.528150134048257,Red,Totals,,,,,,,,,,,
142,Sartoria,275.0,37.0,Dinner,Full Site,Covers,-238.0,-86.54545454545455,Red,Totals,,,,,,,,,,,
143,Radici,50.0,43.0,Dinner,Full Site,Covers,-7.0,-14.000000000000002,Red,Totals,,,,,,,,,,,
144,Quaglinos,221.0,165.0,Dinner,Full Site,Covers,-56.0,-25.339366515837103,Red,Totals,,,,,,,,,,,
145,Plateau,190.0,22.0,Dinner,Full Site,Covers,-168.0,-88.42105263157895,Red,Totals,,,,,,,,,,,
146,Paternoster Chophouse,167.0,95.0,Dinner,Full Site,Covers,-72.0,-43.11377245508982,Red,Totals,,,,,,,,,,,
147,Orrery,75.0,51.0,Dinner,Full Site,Covers,-24.0,-32.0,Red,Totals,,,,,,,,,,,
148,New Street Warehouse,260.0,28.0,Dinner,Full Site,Covers,-232.0,-89.23076923076924,Red,Totals,,,,,,,,,,,
149,Madison,201.0,420.0,Dinner,Full Site,Covers,219.0,108.95522388059702,lime,Totals,,,,,,,,,,,
150,Le Pont de la Tour,174.0,18.0,Dinner,Full Site,Covers,-156.0,-89.65517241379311,Red,Totals,,,,,,,,,,,
151,Launceston Place,29.0,0.0,Dinner,Full Site,Covers,-29.0,-100.0,Red,Totals,,,,,,,,,,,
152,Klosterhaus,0.0,106.0,Dinner,Full Site,Covers,106.0,100.0,lime,Totals,,,,,,,,,,,
153,Issho,102.0,106.0,Dinner,Full Site,Covers,4.0,3.9215686274509802,lime,Totals,,,,,,,,,,,
154,German Gymnasium,1040.0,553.0,Dinner,Full Site,Covers,-487.0,-46.82692307692308,Red,Totals,,,,,,,,,,,
155,Fiume,34.0,34.0,Dinner,Full Site,Covers,0.0,0.0,Yellow,Totals,,,,,,,,,,,
156,East 59th,40.0,36.0,Dinner,Full Site,Covers,-4.0,-10.0,Red,Totals,,,,,,,,,,,
157,Coq d'Argent,210.0,107.0,Dinner,Full Site,Covers,-103.0,-49.047619047619044,Red,Totals,,,,,,,,,,,
158,Cantina,53.0,44.0,Dinner,Full Site,Covers,-9.0,-16.9811320754717,Red,Totals,,,,,,,,,,,
159,Butlers Wharf Chophouse,109.0,32.0,Dinner,Full Site,Covers,-77.0,-70.64220183486239,Red,Totals,,,,,,,,,,,
160,Blueprint Café,8.0,0.0,Dinner,Full Site,Covers,-8.0,-100.0,Red,Totals,,,,,,,,,,,
161,Bluebird Chelsea,220.0,416.0,Dinner,Full Site,Covers,196.0,89.0909090909091,lime,Totals,,,,,,,,,,,
162,Avenue,141.0,24.0,Dinner,Full Site,Covers,-117.0,-82.97872340425532,Red,Totals,,,,,,,,,,,
163,Aster,203.0,46.0,Dinner,Full Site,Covers,-157.0,-77.33990147783251,Red,Totals,,,,,,,,,,,
164,20 Stories,268.0,504.0,Dinner,Full Site,Covers,236.0,88.05970149253731,lime,Totals,,,,,,,,,,,
165,100 Wardour Street,109.0,0.0,Dinner,Full Site,Covers,-109.0,-100.0,Red,Totals,,,,,,,,,,,
166,White City,18.48841121495327,23.367027027027024,All Shifts,Full Site,Spend,4.878615812073754,26.38742591428284,lime,Totals,,,,,,,,,,,
167,Trinity,25.21449438202247,21.984961538461533,All Shifts,Full Site,Spend,-3.2295328435609356,-12.808239557099906,Red,Totals,,,,,,,,,,,
168,The Modern Pantry,0.0,,All Shifts,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
169,South Place Hotel,0.0,0.0,All Shifts,Full Site,Spend,0.0,,Yellow,Totals,,,,,,,,,,,
170,Skylon,46.37438016528925,27.72377192982455,All Shifts,Full Site,Spend,-18.650608235464702,-40.217482517263896,Red,Totals,,,,,,,,,,,
171,Sartoria,78.02875273522976,68.53171052631578,All Shifts,Full Site,Spend,-9.497042208913982,-12.171208530193631,Red,Totals,,,,,,,,,,,
172,Radici,38.65275862068965,32.39953488372093,All Shifts,Full Site,Spend,-6.253223736968721,-16.177949414512316,Red,Totals,,,,,,,,,,,
173,Quaglinos,56.83126623376624,58.627575757575734,All Shifts,Full Site,Spend,1.7963095238094908,3.1607768801431617,lime,Totals,,,,,,,,,,,
174,Plateau,62.526776859504125,49.96590909090908,All Shifts,Full Site,Spend,-12.560867768595045,-20.08878179794707,Red,Totals,,,,,,,,,,,
175,Paternoster Chophouse,49.363468834688334,40.40962765957447,All Shifts,Full Site,Spend,-8.953841175113865,-18.13859800878071,Red,Totals,,,,,,,,,,,
176,Orrery,70.86249999999998,84.71571428571427,All Shifts,Full Site,Spend,13.853214285714287,19.54942922662098,lime,Totals,,,,,,,,,,,
177,New Street Warehouse,38.174497206703904,61.119677419354836,All Shifts,Full Site,Spend,22.945180212650932,60.10604432694788,lime,Totals,,,,,,,,,,,
178,Madison,35.84018617021277,26.105000000000008,All Shifts,Full Site,Spend,-9.73518617021276,-27.16276674450926,Red,Totals,,,,,,,,,,,
179,Le Pont de la Tour,68.97395555555558,98.09961538461539,All Shifts,Full Site,Spend,29.125659829059813,42.227040039193255,lime,Totals,,,,,,,,,,,
180,Launceston Place,81.8893103448276,,All Shifts,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
181,Klosterhaus,,27.84660606060607,All Shifts,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
182,Issho,29.914496644295305,38.03993333333334,All Shifts,Full Site,Spend,8.125436689038033,27.16220428394724,lime,Totals,,,,,,,,,,,
183,German Gymnasium,23.546714204221335,28.21135538954109,All Shifts,Full Site,Spend,4.664641185319756,19.810157565353652,lime,Totals,,,,,,,,,,,
184,Fiume,30.958108108108114,41.39352941176471,All Shifts,Full Site,Spend,10.435421303656597,33.70820098959308,lime,Totals,,,,,,,,,,,
185,East 59th,33.941071428571426,21.81,All Shifts,Full Site,Spend,-12.131071428571428,-35.741568895670014,Red,Totals,,,,,,,,,,,
186,Coq d'Argent,51.267389162561564,52.460391061452526,All Shifts,Full Site,Spend,1.1930018988909623,2.3270190239415625,lime,Totals,,,,,,,,,,,
187,Cantina,25.740512820512826,38.466249999999995,All Shifts,Full Site,Spend,12.725737179487169,49.438553412758445,lime,Totals,,,,,,,,,,,
188,Butlers Wharf Chophouse,43.15412587412588,42.80260869565217,All Shifts,Full Site,Spend,-0.35151717847371344,-0.8145621568121584,Red,Totals,,,,,,,,,,,
189,Blueprint Café,29.358333333333334,,All Shifts,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
190,Bluebird Chelsea,32.436392785571144,25.95711325966852,All Shifts,Full Site,Spend,-6.479279525902623,-19.97533933176699,Red,Totals,,,,,,,,,,,
191,Avenue,28.40475471698112,31.31133333333333,All Shifts,Full Site,Spend,2.90657861635221,10.2327185899429,lime,Totals,,,,,,,,,,,
192,Aster,32.17459677419355,30.426491228070166,All Shifts,Full Site,Spend,-1.7481055461233872,-5.433185560620606,Red,Totals,,,,,,,,,,,
193,20 Stories,54.42439914163089,28.11799461641993,All Shifts,Full Site,Spend,-26.30640452521096,-48.33568204722427,Red,Totals,,,,,,,,,,,
194,100 Wardour Street,40.06843478260868,,All Shifts,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
195,White City,16.90610169491526,21.724999999999998,Lunch,Full Site,Spend,4.818898305084737,28.503899905760566,lime,Totals,,,,,,,,,,,
196,Trinity,13.69617021276596,18.156476190476194,Lunch,Full Site,Spend,4.4603059777102345,32.566081674078944,lime,Totals,,,,,,,,,,,
197,The Modern Pantry,0.0,,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
198,South Place Hotel,0.0,0.0,Lunch,Full Site,Spend,0.0,,Yellow,Totals,,,,,,,,,,,
199,Skylon,55.15577586206895,32.65206349206348,Lunch,Full Site,Spend,-22.503712370005466,-40.800282505828086,Red,Totals,,,,,,,,,,,
200,Sartoria,48.821166666666656,58.983333333333334,Lunch,Full Site,Spend,10.162166666666678,20.815083621516653,lime,Totals,,,,,,,,,,,
201,Radici,27.561249999999998,,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
202,Quaglinos,27.622972972972974,,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
203,Plateau,34.85653846153846,,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
204,Paternoster Chophouse,34.13024752475247,33.032043010752695,Lunch,Full Site,Spend,-1.0982045139997751,-3.217686930642147,Red,Totals,,,,,,,,,,,
205,Orrery,57.72367346938775,53.311212121212115,Lunch,Full Site,Spend,-4.412461348175633,-7.6441104367962085,Red,Totals,,,,,,,,,,,
206,New Street Warehouse,40.25714285714285,50.526666666666664,Lunch,Full Site,Spend,10.269523809523811,25.509817837709964,lime,Totals,,,,,,,,,,,
207,Madison,26.47,20.196302083333336,Lunch,Full Site,Spend,-6.273697916666663,-23.701163266591095,Red,Totals,,,,,,,,,,,
208,Le Pont de la Tour,63.27019607843138,69.40625,Lunch,Full Site,Spend,6.136053921568617,9.698174340983874,lime,Totals,,,,,,,,,,,
209,Klosterhaus,,20.52423728813559,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
210,Issho,22.2631914893617,29.361136363636366,Lunch,Full Site,Spend,7.097944874274667,31.88197378469465,lime,Totals,,,,,,,,,,,
211,German Gymnasium,17.14313758389262,23.170706521739135,Lunch,Full Site,Spend,6.027568937846514,35.16024361555557,lime,Totals,,,,,,,,,,,
212,Fiume,27.083333333333332,,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
213,East 59th,15.340625000000001,24.592857142857145,Lunch,Full Site,Spend,9.252232142857144,60.31196344905858,lime,Totals,,,,,,,,,,,
214,Coq d'Argent,45.87634730538922,50.80944444444445,Lunch,Full Site,Spend,4.933097139055235,10.753029455934323,lime,Totals,,,,,,,,,,,
215,Cantina,19.173199999999998,36.89150000000001,Lunch,Full Site,Spend,17.71830000000001,92.41180397638377,lime,Totals,,,,,,,,,,,
216,Butlers Wharf Chophouse,31.74029411764706,43.38428571428572,Lunch,Full Site,Spend,11.643991596638656,36.68520384051765,lime,Totals,,,,,,,,,,,
217,Blueprint Café,35.43899999999999,,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
218,Bluebird Chelsea,15.836133333333336,20.025887096774195,Lunch,Full Site,Spend,4.189753763440859,26.45692401832639,lime,Totals,,,,,,,,,,,
219,Avenue,18.890679611650487,32.96333333333334,Lunch,Full Site,Spend,14.072653721682851,74.49522204062895,lime,Totals,,,,,,,,,,,
220,Aster,29.46935483870968,24.55454545454546,Lunch,Full Site,Spend,-4.914809384164222,-16.677695901602636,Red,Totals,,,,,,,,,,,
221,20 Stories,36.073030303030315,26.29665271966528,Lunch,Full Site,Spend,-9.776377583365036,-27.10162551146631,Red,Totals,,,,,,,,,,,
222,100 Wardour Street,10.954999999999998,,Lunch,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
223,White City,21.21489361702127,24.57964285714285,Dinner,Full Site,Spend,3.3647492401215793,15.860316345974754,lime,Totals,,,,,,,,,,,
224,Trinity,31.47300578034682,24.57845161290323,Dinner,Full Site,Spend,-6.894554167443591,-21.906246310127976,Red,Totals,,,,,,,,,,,
225,The Modern Pantry,0.0,,Dinner,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
226,South Place Hotel,0.0,0.0,Dinner,Full Site,Spend,0.0,,Yellow,Totals,,,,,,,,,,,
227,Skylon,36.4442091152815,25.842060606060603,Dinner,Full Site,Spend,-10.6021485092209,-29.09144900273138,Red,Totals,,,,,,,,,,,
228,Sartoria,97.19494545454543,75.61918918918919,Dinner,Full Site,Spend,-21.575756265356247,-22.198434460201895,Red,Totals,,,,,,,,,,,
229,Radici,40.319,32.39953488372093,Dinner,Full Site,Spend,-7.919465116279071,-19.642017699543814,Red,Totals,,,,,,,,,,,
230,Quaglinos,72.62194570135748,57.94060606060603,Dinner,Full Site,Spend,-14.681339640751446,-20.216119933119632,Red,Totals,,,,,,,,,,,
231,Plateau,70.09968421052632,49.96590909090908,Dinner,Full Site,Spend,-20.13377511961724,-28.721634549951236,Red,Totals,,,,,,,,,,,
232,Paternoster Chophouse,66.23239520958083,47.6318947368421,Dinner,Full Site,Spend,-18.60050047273873,-28.08368988299563,Red,Totals,,,,,,,,,,,
233,Orrery,72.68373333333332,102.71686274509803,Dinner,Full Site,Spend,30.033129411764705,41.32029002146933,lime,Totals,,,,,,,,,,,
234,New Street Warehouse,37.389499999999984,62.25464285714287,Dinner,Full Site,Spend,24.865142857142885,66.50300982132121,lime,Totals,,,,,,,,,,,
235,Madison,43.998308457711445,28.806119047619056,Dinner,Full Site,Spend,-15.19218941009239,-34.52903064374445,Red,Totals,,,,,,,,,,,
236,Le Pont de la Tour,68.15586206896553,69.18555555555557,Dinner,Full Site,Spend,1.029693486590034,1.5107922566486036,lime,Totals,,,,,,,,,,,
237,Launceston Place,77.86655172413793,,Dinner,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
238,Klosterhaus,,31.922264150943384,Dinner,Full Site,Spend,,,Yellow,Totals,,,,,,,,,,,
239,Issho,33.440098039215684,41.64245283018868,Dinner,Full Site,Spend,8.202354790972997,24.528501026982568,lime,Totals,,,,,,,,,,,
240,German Gymnasium,28.8766826923077,32.22650994575044,Dinner,Full Site,Spend,3.3498272534427436,11.60045732792945,lime,Totals,,,,,,,,,,,
241,Fiume,31.3,41.39352941176471,Dinner,Full Site,Spend,10.09352941176471,32.2476978011652,lime,Totals,,,,,,,,,,,
242,East 59th,41.38124999999999,20.72777777777778,Dinner,Full Site,Spend,-20.653472222222206,-49.91021832888618,Red,Totals,,,,,,,,,,,
243,Coq d'Argent,58.43628571428572,51.59336448598131,Dinner,Full Site,Spend,-6.842921228304405,-11.71005505339902,Red,Totals,,,,,,,,,,,
244,Cantina,28.838301886792454,39.18204545454545,Dinner,Full Site,Spend,10.343743567752998,35.86807436983761,lime,Totals,,,,,,,,,,,
245,Butlers Wharf Chophouse,46.71440366972477,41.923125,Dinner,Full Site,Spend,-4.791278669724768,-10.25653394528925,Red,Totals,,,,,,,,,,,
